,month_id,PerCapitaFatalities,Fatalities_Sum,Countries_In_AG_Unit,GIS__Index
2786,109,0.0,0.0,Jordan___Syria,20737
2787,109,0.0,0.0,Jordan___Syria,20738
2833,109,0.0,0.0,Syria,20377
2834,109,0.0,0.0,Syria,20378
2835,109,0.0,0.0,Jordan___Syria,20379
2836,109,0.0,0.0,Iraq___Syria,20380
2877,109,0.0,0.0,Lebanon___Syria,20016
2878,109,0.0,0.0,Lebanon___Syria,20017
2879,109,0.0,0.0,Syria,20018
2880,109,0.0,0.0,Syria,20019
2881,109,0.0,0.0,Syria,20020
2882,109,0.0,0.0,Iraq___Syria,20021
2923,109,0.0,0.0,Syria,19656
2924,109,0.0,0.0,Syria,19657
2925,109,0.0,0.0,Syria,19658
2926,109,0.0,0.0,Syria,19659
2927,109,0.0,0.0,Syria,19660
2928,109,0.0,0.0,Syria,19661
2929,109,0.0,0.0,Iraq___Syria,19662
2971,109,0.0,0.0,Syria___Turkey,19297
2972,109,0.0,0.0,Syria___Turkey,19298
2973,109,0.0,0.0,Syria___Turkey,19299
2974,109,0.0,0.0,Syria___Turkey,19300
2975,109,0.0,0.0,Syria,19301
2976,109,0.0,0.0,Iraq___Syria,19302
6211,110,0.0,0.0,Jordan___Syria,20737
6212,110,0.0,0.0,Jordan___Syria,20738
6258,110,0.0,0.0,Syria,20377
6259,110,0.0,0.0,Syria,20378
6260,110,0.0,0.0,Jordan___Syria,20379
6261,110,0.0,0.0,Iraq___Syria,20380
6302,110,0.0,0.0,Lebanon___Syria,20016
6303,110,0.0,0.0,Lebanon___Syria,20017
6304,110,0.0,0.0,Syria,20018
6305,110,0.0,0.0,Syria,20019
6306,110,0.0,0.0,Syria,20020
6307,110,0.0,0.0,Iraq___Syria,20021
6348,110,0.0,0.0,Syria,19656
6349,110,0.0,0.0,Syria,19657
6350,110,0.0,0.0,Syria,19658
6351,110,0.0,0.0,Syria,19659
6352,110,0.0,0.0,Syria,19660
6353,110,0.0,0.0,Syria,19661
6354,110,0.0,0.0,Iraq___Syria,19662
6396,110,0.0,0.0,Syria___Turkey,19297
6397,110,0.0,0.0,Syria___Turkey,19298
6398,110,0.0,0.0,Syria___Turkey,19299
